Gene Name	Accession-1	Left-End-Position	Right-End-Position	Regulation - transcription units of gene	Object ID	Transcription units - promoter of operon	Transcription units - binding sites	Transcription units - regulators of operon	Regulation - direct regulators of gene	Regulation - transcription factor regulators of gene
eutH	b2452	2566881	2568107	eutHA	G7282		HipB DNA-binding-site regulating eutHA (BS0-8415) // HipB DNA-binding-site regulating eutHA (BS0-8413)	antitoxin/DNA-binding transcriptional repressor HipB	antitoxin/DNA-binding transcriptional repressor HipB	antitoxin/DNA-binding transcriptional repressor HipB
ybcI	b0527	556032	556553	ybcI	EG12708					
pssA	b2585	2722727	2724082	pssA	EG10781	pssAp			RNA polymerase, sigma 70 (sigma D) factor	
ansA	b1767	1850860	1851876	ansA-pncA	EG10045					
yeiE	b2157	2248737	2249618	yeiE	EG12105		Nac DNA-binding-site regulating yeiH	DNA-binding transcriptional dual regulator Nac	DNA-binding transcriptional dual regulator Nac	DNA-binding transcriptional dual regulator Nac
bcsE	b3536	3696458	3698029	bcsEFG	EG12263	bcsEp1			RNA polymerase, sigma 70 (sigma D) factor	
insE3	b0540	566842	567141	insE3EF3F3	G6296					
tyrP	b1907	1989681	1990892	tyrP // tyrP	EG11041	tyrPp2 // tyrPp1	 // TyrR-tyr DNA-binding-site 41.5 bases upstream of tyrPp1 // IHF DNA-binding-site regulating tyrPp1 // HU DNA-binding-site regulating tyrPp1 // TyrR DNA-binding-site 64.5 bases upstream of tyrPp1	 // TyrR-Phenylalanine DNA-binding transcriptional repressor // DNA-binding transcriptional dual regulator TyrR // TyrR-Tyrosine DNA-binding transcriptional repressor // DNA-binding transcriptional dual regulator IHF // DNA-binding transcriptional dual regulator HU	RNA polymerase, sigma 70 (sigma D) factor // TyrR-Phenylalanine DNA-binding transcriptional repressor // DNA-binding transcriptional dual regulator TyrR // TyrR-Tyrosine DNA-binding transcriptional repressor // DNA-binding transcriptional dual regulator IHF // DNA-binding transcriptional dual regulator HU // DNA-binding transcriptional dual regulator Lrp	DNA-binding transcriptional dual regulator TyrR // TyrR-Tyrosine DNA-binding transcriptional repressor // DNA-binding transcriptional dual regulator IHF // DNA-binding transcriptional dual regulator HU // TyrR-Phenylalanine DNA-binding transcriptional repressor
pgsA	b1912	1992269	1992817	pgsA	EG10706	pgsAp				
envR	b3264	3412803	3413465	envR	EG11741					
lolA	b0891	937372	937983	lolA-rarA	G6465	lolAp	Pasp56 RcsB DNA-binding-site 43.5 bases upstream of lolAp	P<SUP>asp56</SUP> RcsB	RNA polymerase, sigma 70 (sigma D) factor // P<SUP>asp56</SUP> RcsB // DNA-binding transcriptional dual regulator Lrp	P<SUP>asp56</SUP> RcsB
yjcF	b4066	4281783	4283075	yjcF	EG11941		Nac DNA-binding-site regulating yjcF	DNA-binding transcriptional dual regulator Nac	DNA-binding transcriptional dual regulator Nac	DNA-binding transcriptional dual regulator Nac
clsB	b0789	822498	823739	ybhP-clsB-ybhN	G6406			ppGpp	ppGpp	
astA	b1747	1829731	1830765	astCADBE // astCADBE // astCADBE	G6943	astCp3 // astCp2 // astCp1	 // NtrC-Pasp DNA-binding-site 233 bases upstream of astCp2 // NtrC-Pasp DNA-binding-site 253 bases upstream of astCp2 // NtrC-Pasp DNA-binding-site 275 bases upstream of astCp2 // ArgR-arg DNA-binding-site 47.5 bases upstream of astCp2 // ArgR-arg DNA-binding-site 78.5 bases upstream of astCp2 // ArgR-arg DNA-binding-site 99.5 bases upstream of astCp2 // ArgR-arg DNA-binding-site 121.5 bases upstream of astCp2	 // NtrC-Phosphorylated DNA-binding transcriptional dual regulator // ArgR-L-arginine DNA-binding transcriptional dual regulator	ArgR-L-arginine DNA-binding transcriptional dual regulator // NtrC-Phosphorylated DNA-binding transcriptional dual regulator // RNA polymerase, sigma S (sigma 38) factor // RNA polymerase, sigma 54 (sigma N) factor // RNA polymerase, sigma 70 (sigma D) factor	NtrC-Phosphorylated DNA-binding transcriptional dual regulator // ArgR-L-arginine DNA-binding transcriptional dual regulator
hdfR	b4480	3947128	3947967	hdfR	EG11449	hdfRp	H-NS DNA-binding-site regulating hdfRp	DNA-binding transcriptional dual regulator H-NS	RNA polymerase, sigma S (sigma 38) factor // DNA-binding transcriptional dual regulator H-NS	DNA-binding transcriptional dual regulator H-NS
yebE	b1846	1929048	1929707	yebE	EG11806	yebEp	CpxR response regulator - phosphorylated DNA-binding-site 44 bases upstream of yebEp	Phosphorylated DNA-binding transcriptional dual regulator CpxR	RNA polymerase, sigma 70 (sigma D) factor // Phosphorylated DNA-binding transcriptional dual regulator CpxR	Phosphorylated DNA-binding transcriptional dual regulator CpxR
insB1	b0021	19811	20314	insA1B1AB1	G6085					
melB	b4120	4343369	4344790	melAB	EG10578	melAp	MelR DNA-binding-site 238.5 bases upstream of melAp // MelR-melibiose DNA-binding-site 42.5 bases upstream of melAp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 81.5 bases upstream of melAp // MelR-melibiose DNA-binding-site 62.5 bases upstream of melAp // MelR-melibiose DNA-binding-site 100.5 bases upstream of melAp // MelR-melibiose DNA-binding-site 120.5 bases upstream of melAp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 195.5 bases upstream of melAp	MelR-Melibiose transcriptional activator // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator MelR	RNA polymerase, sigma 70 (sigma D) factor // MelR-Melibiose transcriptional activator // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator MelR	DNA-binding transcriptional dual regulator MelR // MelR-Melibiose transcriptional activator // CRP-cAMP DNA-binding transcriptional dual regulator
dgkA	b4042	4256637	4257005	dgkA // dgkA	EG10224	dgkAp1 // dgkAp2	BasR-Pasp51 DNA-binding-site 30.5 bases upstream of dgkAp1 // 	Phosphorylated DNA-binding transcriptional dual regulator BasR // 	Phosphorylated DNA-binding transcriptional dual regulator BasR	Phosphorylated DNA-binding transcriptional dual regulator BasR
fimZ	b0535	563848	564480	fimZ	EG11103					
fliR	b1950	2022893	2023678	fliLMNOPQR // fliLMNOPQR	EG11977	fliLp2 // fliLp1	 // FlhDC DNA-binding-site 37 bases upstream of fliLp1 // FlhDC DNA-binding-site 65 bases upstream of fliLp1	 // FlhDC DNA-binding transcriptional dual regulator	FlhDC DNA-binding transcriptional dual regulator // RNA polymerase, sigma 28 (sigma F) factor // RNA polymerase, sigma 70 (sigma D) factor	FlhDC DNA-binding transcriptional dual regulator
ydcC	b1460	1531816	1532952	ydcC	EG11526					
speF	b0693	718262	720460	speF-potE	EG10964		OmpR DNA-binding-site regulating speF-potE	OmpR dimer	OmpR dimer	OmpR dimer
soxS	b4062	4277060	4277383	soxS	EG10958	soxSp	SoxR DNA-binding-site 6 bases downstream of soxSp // AcrR DNA-binding-site 25.5 bases upstream of soxSp // DNA-binding transcriptional dual regulator Fur DNA-binding-site regulating soxSp // Fnr DNA-binding-site regulating soxSp // SoxS DNA-binding-site 3 bases downstream of soxSp // SoxR DNA-binding-site 25.5 bases upstream of soxSp	DNA-binding transcriptional dual regulator SoxR // small regulatory RNA MgrR // DNA-binding transcriptional repressor AcrR // Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator FNR // DNA-binding transcriptional dual regulator SoxS	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator SoxR // DNA-binding transcriptional dual regulator Lrp // small regulatory RNA MgrR // DNA-binding transcriptional repressor AcrR // Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator FNR // DNA-binding transcriptional dual regulator SoxS	DNA-binding transcriptional repressor AcrR // Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator FNR // DNA-binding transcriptional dual regulator SoxS // DNA-binding transcriptional dual regulator SoxR
yibA	b3594	3766337	3767179	yibA // rhsA-yibA	EG11187	yibAp // 			RNA polymerase, sigma 32 (sigma H) factor	
insAB1		19811	20508	insA1B1AB1	G0-10535					
glcA	b2975	3119597	3121279	glcBA // glcDEFGBA	G7542	glcBp // glcDp	 // PdhR DNA-binding-site 56 bases upstream of glcDp // ArcA-Pasp54 DNA-binding-site 111.0 bases upstream of glcDp // ArcA-Pasp54 DNA-binding-site 104 bases upstream of glcDp // GlcC-glycolate DNA-binding-site 176 bases upstream of glcDp // IHF DNA-binding-site 107 bases upstream of glcDp	 // GlcC-Glycolate DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator IHF // DNA-binding transcriptional dual regulator PdhR // Phosphorylated DNA-binding transcriptional dual regulator ArcA	RNA polymerase, sigma 70 (sigma D) factor // GlcC-Glycolate DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator IHF // DNA-binding transcriptional dual regulator Nac // DNA-binding transcriptional dual regulator PdhR // Phosphorylated DNA-binding transcriptional dual regulator ArcA // DNA-binding transcriptional dual regulator Lrp	DNA-binding transcriptional dual regulator PdhR // Phosphorylated DNA-binding transcriptional dual regulator ArcA // GlcC-Glycolate DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator IHF
rcsA	b1951	2023968	2024591	rcsA	EG10820	rcsAp	H-NS DNA-binding-site regulating rcsAp // RcsAB DNA-binding-site 125 bases upstream of rcsAp // GadE DNA-binding-site regulating rcsAp // RcsAB DNA-binding-site 172 bases upstream of rcsAp	DNA-binding transcriptional activator GadE // RcsAB DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator H-NS	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional activator GadE // RcsAB DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator H-NS // DNA-binding transcriptional dual regulator Nac	DNA-binding transcriptional dual regulator H-NS // DNA-binding transcriptional activator GadE // RcsAB DNA-binding transcriptional dual regulator
gspJ	b3331	3462344	3462931	gspCDEFGHIJKLMO // gspCDEFGHIJKLMO // gspCDEFGHIJKLMO	G7709	gspCp1 // gspCp2 // gspCp3	 // SlyA DNA-binding-site 49.5 bases upstream of gspCp2 // H-NS DNA-binding-site regulating gspCp2 // DNA-binding transcriptional dual regulator Fur DNA-binding-site 156 bases downstream of gspCp3 // H-NS DNA-binding-site regulating gspCp3	 // DNA-binding transcriptional dual regulator SlyA // DNA-binding transcriptional dual regulator H-NS // Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator SlyA // Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator H-NS	DNA-binding transcriptional dual regulator SlyA // Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator H-NS
yajD	b0410	430605	430952	yajD	EG11097		Nac DNA-binding-site regulating yajD	DNA-binding transcriptional dual regulator Nac	DNA-binding transcriptional dual regulator Nac	DNA-binding transcriptional dual regulator Nac
astE	b1744	1825955	1826923	astCADBE // astCADBE // astCADBE	G6940	astCp3 // astCp2 // astCp1	 // NtrC-Pasp DNA-binding-site 233 bases upstream of astCp2 // NtrC-Pasp DNA-binding-site 253 bases upstream of astCp2 // NtrC-Pasp DNA-binding-site 275 bases upstream of astCp2 // ArgR-arg DNA-binding-site 47.5 bases upstream of astCp2 // ArgR-arg DNA-binding-site 78.5 bases upstream of astCp2 // ArgR-arg DNA-binding-site 99.5 bases upstream of astCp2 // ArgR-arg DNA-binding-site 121.5 bases upstream of astCp2	 // NtrC-Phosphorylated DNA-binding transcriptional dual regulator // ArgR-L-arginine DNA-binding transcriptional dual regulator	ArgR-L-arginine DNA-binding transcriptional dual regulator // NtrC-Phosphorylated DNA-binding transcriptional dual regulator // RNA polymerase, sigma S (sigma 38) factor // RNA polymerase, sigma 54 (sigma N) factor // RNA polymerase, sigma 70 (sigma D) factor	NtrC-Phosphorylated DNA-binding transcriptional dual regulator // ArgR-L-arginine DNA-binding transcriptional dual regulator
mprA	b2684	2810770	2811300	emrRAB	EG10603	mprAp	MprA DNA-binding-site 10 bases upstream of mprAp	DNA-binding transcriptional repressor MprA	RNA polymerase, sigma 70 (sigma D) factor // putrescine // DNA-binding transcriptional repressor MprA	DNA-binding transcriptional repressor MprA
yjjU	b4377	4612411	4613484	yjjUV	G7951					
insH9	b2982	3130214	3131194	insH-9	G7548					
mdtC	b2076	2158386	2161463	mdtABCD-baeSR	G7115	mdtAp	CpxR response regulator - phosphorylated DNA-binding-site 66.5 bases upstream of mdtAp // BaeR-Pasp61 DNA-binding-site 27.5 bases upstream of mdtAp // CpxR response regulator - phosphorylated DNA-binding-site 128.5 bases upstream of mdtAp	Phosphorylated DNA-binding transcriptional activator BaeR // Phosphorylated DNA-binding transcriptional dual regulator CpxR	RNA polymerase, sigma S (sigma 38) factor // Phosphorylated DNA-binding transcriptional activator BaeR // Phosphorylated DNA-binding transcriptional dual regulator CpxR	Phosphorylated DNA-binding transcriptional activator BaeR // Phosphorylated DNA-binding transcriptional dual regulator CpxR
hupA	b4000	4200281	4200553	hupA	EG10466	hupAp	CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 63.5 bases upstream of hupAp // Fis DNA-binding-site 93.5 bases upstream of hupAp // Fis DNA-binding-site 167.5 bases upstream of hupAp // Fis DNA-binding-site 219.5 bases upstream of hupAp // Fis DNA-binding-site 255 bases upstream of hupAp	CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Fis	CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Fis // DNA-binding transcriptional dual regulator Nac	CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Fis
yfcC	b2298	2417081	2418601	yfcC	G7190				DNA-binding transcriptional dual regulator Lrp // ArgR-L-arginine DNA-binding transcriptional dual regulator	
yjdI	b4126	4351843	4352073	yjdIJ	G7828					
lnt	b0657	689343	690881	ybeZYX-lnt // ybeX-lnt	EG10168	ybeZp // 			RNA polymerase, sigma 32 (sigma H) factor	
ansB	b2957	3099682	3100728	ansB // ansB	EG10046	ansBp1 // ansBp2	Fis DNA-binding-site 27 bases upstream of ansBp1 // Fis DNA-binding-site 69 bases upstream of ansBp1 // Fnr DNA-binding-site 41.5 bases upstream of ansBp2 // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 91.5 bases upstream of ansBp2	DNA-binding transcriptional dual regulator Fis // DNA-binding transcriptional dual regulator FNR // CRP-cAMP DNA-binding transcriptional dual regulator	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator FNR // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Fis // DNA-binding transcriptional dual regulator Lrp // DNA-binding transcriptional dual regulator Nac	DNA-binding transcriptional dual regulator Fis // DNA-binding transcriptional dual regulator FNR // CRP-cAMP DNA-binding transcriptional dual regulator
fnr	b1334	1398774	1399526	fnr	EG10325	fnrp	DNA-binding transcriptional dual regulator Fur DNA-binding-site regulating fnrp // Fnr DNA-binding-site 0.5 bases upstream of fnrp // IHF DNA-binding-site 104 bases upstream of fnrp // ArcA-Pasp54 DNA-binding-site regulating fnrp	DNA-binding transcriptional dual regulator IHF // Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator FNR // Phosphorylated DNA-binding transcriptional dual regulator ArcA	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator IHF // Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator FNR // Phosphorylated DNA-binding transcriptional dual regulator ArcA	Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator FNR // DNA-binding transcriptional dual regulator IHF // Phosphorylated DNA-binding transcriptional dual regulator ArcA
yhcG	b3220	3367827	3368954	yhcG	G7674					
insD1	b0361	381674	382579	insC1CD1D1	G6213					
ynfM	b1596	1669699	1670952	ynfM	G6854	ynfMp				
ybaY	b0453	475379	475951	ybaY	G6250					
crp	b3357	3486120	3486752	crp // crp // crp	EG10164	crpp2 // crpp3 // crpp1	Fis DNA-binding-site 5 bases upstream of crpp3 // Fis DNA-binding-site 25 bases upstream of crpp3 // Fis DNA-binding-site 43 bases upstream of crpp3 // Fis DNA-binding-site 164 bases upstream of crpp3 // Cra DNA-binding-site 45.5 bases upstream of crpp1 // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 41.5 bases downstream of crpp1 // Fis DNA-binding-site 31 bases downstream of crpp1 // Fis DNA-binding-site 49 bases downstream of crpp1 // Fis DNA-binding-site 69 bases downstream of crpp1 // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 59.5 bases upstream of crpp1	ppGpp // DNA-binding transcriptional dual regulator Fis // DNA-binding transcriptional dual regulator Cra // CRP-cAMP DNA-binding transcriptional dual regulator	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator Cra // ppGpp // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Fis	DNA-binding transcriptional dual regulator Cra // DNA-binding transcriptional dual regulator Fis // CRP-cAMP DNA-binding transcriptional dual regulator
ybjJ	b0845	886131	887339	ybjJI	G6443		RcdA DNA-binding-site regulating ybjJI (BS0-8303) // RcdA DNA-binding-site regulating ybjJI (BS0-8301)	DNA-binding transcriptional regulator RcdA	DNA-binding transcriptional regulator RcdA	DNA-binding transcriptional regulator RcdA
yggU	b2953	3096383	3096673	yggSTU-rdgB-hemW	G7529					
rcnR	b2105	2185524	2185796	rcnR	G7137	rcnRp	RcnR DNA-binding-site 51.5 bases downstream of rcnRp // RcnR DNA-binding-site 31.5 bases downstream of rcnRp	DNA-binding transcriptional repressor RcnR	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional repressor RcnR	DNA-binding transcriptional repressor RcnR
tnaC	b3707	3888435	3888509	tnaC // tnaCAB	EG11276	tnaCp	CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 59.5 bases upstream of tnaCp // TorR-Pasp DNA-binding-site 102.5 bases upstream of tnaCp // TorR-Pasp DNA-binding-site 55.5 bases upstream of tnaCp	CRP-cAMP DNA-binding transcriptional dual regulator // TorR-Phosphorylated DNA-binding transcriptional dual regulator	RNA polymerase, sigma 70 (sigma D) factor // CRP-cAMP DNA-binding transcriptional dual regulator // TorR-Phosphorylated DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Nac	CRP-cAMP DNA-binding transcriptional dual regulator // TorR-Phosphorylated DNA-binding transcriptional dual regulator
bglJ	b4366	4604160	4604837	yjjQ-bglJ	G7948	yjjQp	H-NS DNA-binding-site 161.5 bases upstream of yjjPp // H-NS DNA-binding-site 174.5 bases upstream of yjjPp // LeuO DNA-binding-site regulating yjjQp	DNA-binding transcriptional dual regulator LeuO // DNA-binding transcriptional dual regulator H-NS	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator LeuO // DNA-binding transcriptional dual regulator H-NS	DNA-binding transcriptional dual regulator H-NS // DNA-binding transcriptional dual regulator LeuO
yqaE	b2666	2796870	2797028	yqaE-kbp // yqaE	G7396	yqaEp	CpxR response regulator - phosphorylated DNA-binding-site 48 bases upstream of yqaEp	Phosphorylated DNA-binding transcriptional dual regulator CpxR // ppGpp // small regulatory RNA CyaR	ppGpp // Phosphorylated DNA-binding transcriptional dual regulator CpxR // small regulatory RNA CyaR	Phosphorylated DNA-binding transcriptional dual regulator CpxR
insA9	b4709	258345	258620		G0-16638					
ybbW	b0511	537633	539087	gcl-hyi-glxR-ybbVW-allB-ybbY-glxK	G6280	gclp	AllR-allantoin DNA-binding-site 20 bases upstream of gclp	AllR-allantoin	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator Nac // AllR-allantoin	AllR-allantoin
aidB	b4187	4414275	4415900	aidB // aidB	EG11811	aidBp2 // aidBp1	Ada DNA-binding-site 53.5 bases upstream of aidBp2 // Lrp DNA-binding-site regulating aidBp2 // AidB DNA-binding-site 48 bases upstream of aidBp2	ppGpp // DNA-binding transcriptional dual regulator / DNA repair protein Ada // DNA-binding transcriptional dual regulator Lrp // isovaleryl-CoA dehydrogenase and DNA-binding transcriptional repressor	RNA polymerase, sigma 70 (sigma D) factor // RNA polymerase, sigma S (sigma 38) factor // ppGpp // DNA-binding transcriptional dual regulator / DNA repair protein Ada // isovaleryl-CoA dehydrogenase and DNA-binding transcriptional repressor // DNA-binding transcriptional dual regulator Lrp	isovaleryl-CoA dehydrogenase and DNA-binding transcriptional repressor // DNA-binding transcriptional dual regulator Lrp // DNA-binding transcriptional dual regulator / DNA repair protein Ada
agaR	b3131	3277856	3278665	agaR	G7630	agaRp	AgaR DNA-binding-site 8.5 bases downstream of agaRp // AgaR DNA-binding-site 19.5 bases upstream of agaRp	DNA-binding transcriptional repressor AgaR	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional repressor AgaR	DNA-binding transcriptional repressor AgaR
yeeE	b2013	2084467	2085525	yeeED	EG11895	yeeEp			DNA-binding transcriptional dual regulator Lrp	
elaB	b2266	2380722	2381027	elaB	G7173	elaBp	Rob DNA-binding-site regulating elaBp // OxyR DNA-binding-site 31 bases upstream of elaBp	ppGpp // DNA-binding transcriptional dual regulator OxyR // DNA-binding transcriptional dual regulator Rob	RNA polymerase, sigma S (sigma 38) factor // ppGpp // DNA-binding transcriptional dual regulator Rob // DNA-binding transcriptional dual regulator OxyR	DNA-binding transcriptional dual regulator Rob // DNA-binding transcriptional dual regulator OxyR
nrdR	b0413	433002	433451	nrdR-ribDE-nusB-thiL-pgpA	EG11320	nrdRp			RNA polymerase, sigma 70 (sigma D) factor	
dsdA	b2366	2479202	2480530	dsdA // dsdXA	EG10249	dsdAp // dsdXp	DNA-binding transcriptional dual regulator DsdC DNA-binding-site regulating dsdAp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site regulating dsdAp // DNA-binding transcriptional dual regulator DsdC DNA-binding-site regulating dsdXp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 117.5 bases upstream of dsdXp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 87.5 bases upstream of dsdXp	DsdC-D-serine DNA-binding transcriptional dual regulator // CRP-cAMP DNA-binding transcriptional dual regulator	RNA polymerase, sigma 70 (sigma D) factor // DsdC-D-serine DNA-binding transcriptional dual regulator // CRP-cAMP DNA-binding transcriptional dual regulator	DsdC-D-serine DNA-binding transcriptional dual regulator // CRP-cAMP DNA-binding transcriptional dual regulator
hyfR	b2491	2611900	2613912	hyfABCDEFGHIJR-focB	G7308	hyfAp	Fnr DNA-binding-site 105.5 bases upstream of hyfAp // HyfR DNA-binding-site 129.5 bases upstream of hyfAp // FhlA-formate DNA-binding-site 130 bases upstream of hyfAp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 160.5 bases upstream of hyfAp	DNA-binding transcriptional activator HyfR // FhlA-Formate DNA-binding transcriptional activator // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator FNR	RNA polymerase, sigma 54 (sigma N) factor // DNA-binding transcriptional activator HyfR // FhlA-Formate DNA-binding transcriptional activator // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator FNR	DNA-binding transcriptional dual regulator FNR // DNA-binding transcriptional activator HyfR // FhlA-Formate DNA-binding transcriptional activator // CRP-cAMP DNA-binding transcriptional dual regulator
yeaR	b1797	1879589	1879948	yeaR-yoaG	G6983	yeaRp	Fis DNA-binding-site 31 bases upstream of yeaRp // Fis DNA-binding-site 55 bases upstream of yeaRp // NarP-Pasp59 DNA-binding-site 39 bases upstream of yeaRp // NarL-Pasp59 DNA-binding-site 39 bases upstream of yeaRp // NarP-Pasp59 DNA-binding-site 48 bases upstream of yeaRp // NarL-Pasp59 DNA-binding-site 48 bases upstream of yeaRp // NsrR DNA-binding-site 32 bases upstream of yeaRp	Phosphorylated DNA-binding transcriptional dual regulator NarP // Phosphorylated DNA-binding transcriptional dual regulator NarL // DNA-binding transcriptional dual regulator Fis // DNA-binding transcriptional dual regulator NsrR	RNA polymerase, sigma 70 (sigma D) factor // Phosphorylated DNA-binding transcriptional dual regulator NarP // Phosphorylated DNA-binding transcriptional dual regulator NarL // DNA-binding transcriptional dual regulator Fis // DNA-binding transcriptional dual regulator NsrR	DNA-binding transcriptional dual regulator Fis // Phosphorylated DNA-binding transcriptional dual regulator NarP // Phosphorylated DNA-binding transcriptional dual regulator NarL // DNA-binding transcriptional dual regulator NsrR
insEF2		391739	392901	insE2F2EF2	G0-10529					
idnT	b4265	4491206	4492525	idnDOTR	EG12539	idnDp	GntR DNA-binding-site 78.5 bases upstream of idnDp // GntR DNA-binding-site 58.5 bases upstream of idnDp // GntR DNA-binding-site 108.5 bases upstream of idnDp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 41.5 bases upstream of idnDp // DNA-binding transcriptional dual regulator IdnR DNA-binding-site 78.5 bases upstream of idnDp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 91.5 bases upstream of idnDp	IdnR-5-ketogluconate DNA-binding transcriptional dual regulator // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional repressor GntR	IdnR-5-ketogluconate DNA-binding transcriptional dual regulator // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional repressor GntR	DNA-binding transcriptional repressor GntR // IdnR-5-ketogluconate DNA-binding transcriptional dual regulator // CRP-cAMP DNA-binding transcriptional dual regulator
fimH	b4320	4548808	4549710	fimAICDFGH	EG10315	fimAp	QseB-Pasp51 DNA-binding-site regulating fimAp // IHF DNA-binding-site 52 bases upstream of fimAp // Lrp DNA-binding-site 204 bases downstream of fimAp // Lrp DNA-binding-site 235 bases downstream of fimAp // Lrp DNA-binding-site 173 bases downstream of fimAp // IHF DNA-binding-site 77 bases downstream of fimAp // H-NS DNA-binding-site regulating fimAp	Phosphorylated DNA-binding transcriptional activator QseB // DNA-binding transcriptional dual regulator Lrp // DNA-binding transcriptional dual regulator IHF // DNA-binding transcriptional dual regulator H-NS	RNA polymerase, sigma 70 (sigma D) factor // Phosphorylated DNA-binding transcriptional activator QseB // DNA-binding transcriptional dual regulator Lrp // DNA-binding transcriptional dual regulator IHF // DNA-binding transcriptional dual regulator H-NS // DNA binding transcriptional dual regulator BolA-phosphate	Phosphorylated DNA-binding transcriptional activator QseB // DNA-binding transcriptional dual regulator Lrp // DNA-binding transcriptional dual regulator IHF // DNA-binding transcriptional dual regulator H-NS
slyA	b1642	1720390	1720824	slyA	G6882		SlyA DNA-binding-site regulating slyA (BS0-8647) // SlyA DNA-binding-site regulating slyA (BS0-8645)	DNA-binding transcriptional dual regulator SlyA	DNA-binding transcriptional dual regulator SlyA // DNA-binding transcriptional dual regulator Lrp	DNA-binding transcriptional dual regulator SlyA
